chaoyangsaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html
chasmosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html
chindesaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html
chinshakiangosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html
chirostenotes,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html
chubutisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html
chungkingosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html
citipati,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/citipati.html
coelophysis,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html
coelurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html
coloradisaurus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html
compsognathus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html
conchoraptor,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html
confuciusornis,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html
corythosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html
cryolophosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html
dacentrurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html
daspletosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html
datousaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/datousaurus.html
deinocheirus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html
deinonychus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html
deltadromeus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html
dicraeosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html
dilophosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html
diplodocus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html
dromaeosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html
dromiceiomimus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html
dryosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html
dryptosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html
dubreuillosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html
edmontonia,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
edmontosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
einiosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html
elaphrosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html
emausaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html
eolambia,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html
eoraptor,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html
eotyrannus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html
equijubus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html
erketu,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/erketu.html
erlikosaurus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html
euhelopus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html
euoplocephalus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html
europasaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html
eustreptospondylus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html
fukuiraptor,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html
fukuisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html
gallimimus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html
gargoyleosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html
garudimimus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html
gasosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html
gasparinisaura,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html
gastonia,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html
giganotosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html
gilmoreosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
giraffatitan,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html
gobisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html
gorgosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html
goyocephale,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
graciliceratops,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
gryposaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
guaibasaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
guanlong,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
hadrosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
hagryphus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/hagryphus.html
haplocanthosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html
harpymimus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
herrerasaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
hesperosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
heterodontosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
heyuannia,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html
homalocephale,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
huayangosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html
hylaeosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html
hypacrosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html
hypsilophodon,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html
iguanodon,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html
indosuchus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html
irritator,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
isisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html
janenschia,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html
jaxartosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
jingshanosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html
jinzhousaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html
jobaria,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html
juravenator,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
kentrosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
khaan,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
kotasaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html
kritosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
lambeosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
lapparentosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html
leaellynasaura,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
leptoceratops,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html
lesothosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html
liaoceratops,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html
ligabuesaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
liliensternus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
lophorhothon,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
lophostropheus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html
lufengosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
lurdusaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html
lycorhinus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
magyarosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html
maiasaura,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
majungasaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html
malawisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html
mamenchisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
mapusaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
marshosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
masiakasaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
massospondylus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html
maxakalisaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
megalosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
melanorosaurus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
metriacanthosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
microceratus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html
micropachycephalosaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
microraptor,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
minmi,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
monolophosaurus,carnivorous,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
mononykus,unknown,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html
mussaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
muttaburrasaurus,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
nanshiungosaurus,omnivorous,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
nedoceratops,herbivorous,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html
